championName,summoner1Id,summoner2Id,kills,deaths,assists,totalMinionsKilled,item0,item1,item2,item3,item4,item5,item6,goldEarned,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,totalDamageTaken,physicalDamageTaken,magicDamageTaken,trueDamageTaken,damageDealtToObjectives,damageSelfMitigated,totalHeal,totalHealsOnTeammates,firstBloodKill,doubleKills,tripleKills,quadrakills,pentakills,largestKillingSpree,turretsLost,turretTakedowns,teamId,win,gameEndedInEarlySurrender,gameEndedInSurrender,kda,killParticipation,goldPerMinute,damagePerMinute,teamDamagePercentage,damageTakenOnTeamPercentage,killsNearEnemyTurret,killsUnderOwnTurret,takedownsInEnemyFountain,killsOnRecentlyHealedByAramPack,firstTurretKilledTime
Lulu,4,3,0,8,33,8,3158,3040,6617,3916,3504,4642,0,10510,2250,358,1891,0,19100,9135,9458,506,381,11869,4748,2421,False,0,0,,,0,4,2,100,False,False,True,4.125,0.7857142857142857,561.1216055000477,120.133277462416,0.027028417128784434,0.18425346815400265,0.0,0.0,0.0,0.0,324.3527654799132
Yasuo,4,14,7,16,18,64,3006,6673,6333,3072,3067,1028,0,14420,14678,10856,1835,1986,29453,16454,8473,4526,3233,45727,1220,0,False,0,0,,,0,2,3,200,True,False,False,1.5625,0.43859649122807015,635.1956132115263,646.5513591802625,0.09121605869387087,0.16911237168043008,2.0,1.0,0.0,0.0,
Yasuo,4,14,3,11,10,23,3111,6673,3091,1053,1018,0,0,9693,8413,6721,1224,468,17975,5179,11574,1221,0,28112,776,0,False,0,0,,,0,4,0,200,False,False,False,1.1818181818181819,0.2826086956521739,567.879744231982,492.9179904757052,0.10253751977954942,0.18830314072909068,2.0,0.0,0.0,0.0,
Evelynn,4,14,20,14,17,25,3158,3152,3100,3135,3089,3102,0,17104,41383,556,37962,2863,37633,14522,21812,1298,0,22834,7230,0,True,1,0,,,5,4,0,200,False,False,False,2.642857142857143,0.5873015873015873,700.8373591202032,1695.6517412603305,0.2252375975965914,0.2611373795144943,4.0,0.0,0.0,2.0,399.0224121453482
Gnar,4,32,3,8,15,45,3047,6631,3143,3076,1028,2051,0,9579,11803,10320,537,945,18693,13656,4859,177,1236,17512,245,0,True,0,0,,,0,1,2,100,True,False,False,2.25,0.5806451612903226,653.7564274972622,805.553068425075,0.14553510355252605,0.269290497313471,2.0,1.0,0.0,0.0,
Xayah,4,3,11,9,15,78,3158,6692,3042,3156,3134,1037,0,12607,26090,26090,0,0,17659,12918,4591,149,696,10371,1601,0,False,2,0,,,2,4,0,200,False,False,False,2.888888888888889,0.5531914893617021,759.7493309869112,1572.2155106899363,0.34259590440989207,0.16283106797927913,3.0,3.0,0.0,1.0,
LeeSin,4,32,10,13,13,38,3111,6630,6333,3156,3211,3067,0,13828,18746,14735,3491,520,32976,11411,15747,5818,0,56755,3187,0,False,1,0,,,3,4,0,200,False,False,False,1.7692307692307692,0.359375,694.4651183965233,941.4374639497813,0.17439775185561027,0.24113733386189742,2.0,1.0,0.0,0.0,
Orianna,4,3,4,11,29,32,3111,3040,6653,3089,0,0,0,11051,29878,1069,23800,5008,26374,8702,12856,4816,0,12730,1534,0,False,0,0,,,0,4,0,100,False,False,False,3.0,0.8048780487804879,625.0924483668655,1689.9783439469177,0.2379158957200728,0.20385236226775277,0.0,1.0,0.0,0.0,
Sion,4,6,5,14,16,32,3111,3068,4401,1011,1028,3077,0,10265,19658,13543,5988,127,45419,28856,14758,1804,608,56424,1218,0,False,1,0,,,3,4,1,200,False,False,False,1.5,0.3684210526315789,633.2826825110734,1212.8195224141598,0.17680110607597724,0.3040630965974441,1.0,1.0,0.0,0.0,455.94418249999995
Shyvana,4,6,5,10,21,39,3111,3083,3748,6662,1028,0,2052,11698,16157,4473,11684,0,36403,19850,9725,6827,369,30880,1344,0,False,1,0,,,2,4,0,100,False,False,False,2.6,0.4642857142857143,691.543878721819,955.1758047989197,0.1938324541531183,0.27282682623275484,3.0,0.0,0.0,0.0,490.38857756744517
Camille,4,32,2,15,21,13,3047,3078,3143,1036,4401,0,0,11463,16242,11687,1447,3107,38151,21287,14627,2236,1943,49196,2583,0,False,0,0,,,0,1,3,100,True,False,False,1.5333333333333334,0.39655172413793105,575.6887794048695,815.7279366909771,0.1260677371064349,0.2553098150863572,0.0,0.0,0.0,0.0,
Trundle,4,32,1,11,24,24,3111,6632,3143,2051,1028,0,0,9628,10205,7329,1645,1230,33228,23707,8890,630,2020,25705,9504,0,False,0,0,,,0,1,2,100,True,False,True,2.272727272727273,0.6756756756756757,628.0140671471196,665.5947327546535,0.10957724173730883,0.3440445792815416,1.0,0.0,0.0,0.0,
Camille,4,14,9,11,15,13,3111,6333,2051,3078,3155,1036,0,11862,23152,11789,1453,9910,27490,15017,9916,2556,933,32533,2603,0,False,1,0,,,2,2,2,200,True,False,True,2.1818181818181817,0.47058823529411764,650.8179995582848,1270.1848928919833,0.2194729158284108,0.18240766692496602,2.0,0.0,0.0,0.0,356.88726290003257
Renekton,4,6,8,8,21,51,3111,2051,1028,3068,4401,3211,0,10157,13936,9737,3454,743,25827,11417,13165,1245,2638,26910,4072,0,False,0,0,,,2,0,3,100,True,False,False,3.625,0.9354838709677419,788.2795141602122,1081.5080739756502,0.1574878072528525,0.27163673358639323,3.0,1.0,0.0,0.0,327.2520354
Lillia,4,3,15,10,21,65,3158,4637,6653,3165,3116,4630,0,14278,32647,869,22259,9518,29130,17414,10783,931,1500,12122,7557,0,False,2,0,,,5,1,3,200,True,False,False,3.6,0.8,795.6798202716752,1819.244274620843,0.28281355029854205,0.20923713720572495,3.0,3.0,0.0,0.0,492.0136594
Lillia,4,6,9,11,25,70,3111,3916,6653,3116,4637,4401,0,14283,26746,492,20657,5596,25802,12016,12713,1071,691,15934,4514,0,False,0,0,,,3,2,2,100,True,False,False,3.090909090909091,0.6538461538461539,705.7865477359235,1321.6370634913724,0.18240364190783406,0.17419242148008607,4.0,1.0,0.0,0.0,334.46692866600443
Veigar,4,3,7,6,22,55,3111,6656,1058,3070,3083,1057,0,11948,23724,1225,21732,766,19576,3072,15546,957,2406,9397,699,0,False,1,0,,,2,0,3,100,True,False,False,4.833333333333333,0.9354838709677419,714.5592688234257,1418.835349656071,0.2233963305443323,0.17659813136408112,2.0,2.0,0.0,0.0,403.33294709999996
Renekton,4,32,8,9,22,54,3111,3068,3143,3076,3065,2051,0,12015,19581,11518,7338,725,41585,23953,16538,1093,670,57739,6985,0,False,1,1,,,3,4,1,200,False,False,False,3.3333333333333335,0.6976744186046512,712.7361481455167,1161.5321645409165,0.22446151670006934,0.2899036784649749,2.0,1.0,0.0,0.0,526.2267703
